OperatorName,Entity,Lon,Lat,DateProductionStart,PerfIntervalGross_CLEAN,PerfIntervalGross,LBS_FT_CLEAN,BBL_FT_CLEAN,Spacing_Avg,GOR_6M,LBS_GAL,IPLiquid,CUM6Liquid,CUM12Liquid
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107632H,-97.879684,28.992474,6/1/2014,5536,5536,970,23,446,891,1,16587,92955,107408
MURPHY EXPLORATION & PRODUCTION CO-U,1420200105022H,-97.934983,28.944919,7/1/2013,5330,5330,1226,34,475,884,0.87,15721,67907,107917
1776 ENERGY OPERATORS LLC,1420200105401H,-97.9114,28.953697,5/1/2013,4174,4174,1199,26,1586,449,1.1,13764,64394,108020
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200106933H,-97.864808,28.961606,4/1/2014,4417,4417,567,23,417,840,0.59,15828,69349,108031
ENCANA OIL & GAS (USA) INCORPORATED,14202001017216H,-97.709197,29.075467,2/1/2016,5035,5035,925,20,292,1175,1.11,14123,76835,108094
MARATHON OIL EF LLC,1420200105198H,-97.980081,28.923533,7/1/2014,5340,5340,854,19,277,1193,1.09,20465,83698,108695
EOG RESOURCES INCORPORATED,1420200099102H,-97.751772,29.063997,4/1/2012,4387,4387,1513,18,628,1396,1.96,23711,75811,108945
MURPHY EXPLORATION & PRODUCTION CO-U,1420200105023H,-97.934617,28.944625,7/1/2013,4901,4901,1265,35,220,807,0.87,14721,64303,109254
MURPHY EXPLORATION & PRODUCTION CO-U,1420200096177H,-97.89125,28.93782,5/1/2015,3896,3896,1649,42,659,234,0.93,14759,70901,109452
MURPHY EXPLORATION & PRODUCTION CO-U,1420200103861H,-97.815606,28.973919,1/1/2013,3907,3907,1161,41,604,637,0.67,18632,74197,109484
MARATHON OIL EF LLC,1420200104363H,-97.959478,28.893164,9/1/2014,5785,5785,832,21,332,1141,0.97,27178,81604,109540
MURPHY EXPLORATION & PRODUCTION CO-U,1420200106841H,-97.814767,28.992828,4/1/2014,4906,4906,1350,40,658,739,0.8,13050,57136,111116
MURPHY EXPLORATION & PRODUCTION CO-U,1420200105812H,-97.835258,28.994006,7/1/2013,4418,4418,1305,46,566,1125,0.68,18852,71065,111619
MARATHON OIL EF LLC,1420200105199H,-97.979986,28.923531,7/1/2014,5355,5355,852,19,271,1101,1.09,22338,84961,112025
MARATHON OIL EF LLC,1420200104364H,-97.95957,28.89317,9/1/2014,5825,5825,854,20,327,1056,1,26518,87319,112276
MURPHY EXPLORATION & PRODUCTION CO-U,1420200107172H,-97.812025,28.977342,2/1/2014,4290,4290,1337,47,515,1044,0.68,18173,73588,112902
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200100953H,-97.857396,28.986904,4/1/2013,5333,5333,646,16,649,1024,0.99,5833,76884,113108
MURPHY EXPLORATION & PRODUCTION CO-U,1420200100452H,-97.892892,28.959086,7/1/2012,3419,3419,1365,49,544,1327,0.67,12747,67583,114305
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200100952H,-97.857446,28.986938,4/1/2013,5534,5534,659,16,823,905,1.01,6011,78609,114635
MURPHY EXPLORATION & PRODUCTION CO-U,1420200104442H,-97.838131,28.992456,2/1/2013,4160,4160,1265,48,662,656,0.63,15247,63308,114719
MARATHON OIL EF LLC,1420200099004H,-97.96442,28.90852,4/1/2014,5614,5614,1021,20,351,986,1.24,21812,84342,115950
MARATHON OIL EF LLC,14202001051910H,-97.979892,28.923528,7/1/2014,5378,5378,843,19,267,1826,1.08,23747,86430,116206
MARATHON OIL EF LLC,1420200100745H,-97.96445,28.91026,10/1/2014,5294,5294,855,17,974,1425,1.18,22233,85494,117104
MARATHON OIL EF LLC,1420200100744H,-97.96436,28.91026,10/1/2014,5289,5289,858,17,573,1470,1.18,23411,83804,117290
MURPHY EXPLORATION & PRODUCTION CO-U,1420200096178H,-97.89118,28.93782,5/1/2015,3537,3537,1808,47,542,578,0.91,17998,83209,117316
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107634H,-97.879768,28.99251,6/1/2014,5565,5565,969,23,409,842,1.01,16605,104295,118008
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200104721H,-97.853415,28.969837,4/1/2013,5266,5266,656,15,623,809,1.01,8306,89914,119694
MURPHY EXPLORATION & PRODUCTION CO-U,1420200100453H,-97.890342,28.962397,7/1/2012,4956,4956,1208,43,553,981,0.67,20003,79235,120079
ENCANA OIL & GAS (USA) INCORPORATED,14202001031815H,-97.709136,29.075483,2/1/2016,5035,5035,991,21,216,1398,1.11,19212,82797,120120
MURPHY EXPLORATION & PRODUCTION CO-U,1420200100454H,-97.892836,28.959131,7/1/2012,3955,3955,1349,49,484,880,0.66,13568,70678,120879
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200104722H,-97.853351,28.969898,4/1/2013,5544,5544,1181,17,779,920,1.61,7946,88420,120903
MARATHON OIL EF LLC,1420200104362H,-97.95938,28.89316,9/1/2014,5668,5668,798,20,337,1090,0.96,25019,87615,121778
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107562H,-97.874737,28.996819,6/1/2014,6286,6286,986,23,380,583,1.02,15940,73026,121967
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200106143H,-97.881419,28.963967,3/1/2014,5771,5771,962,24,471,786,0.96,22094,74598,123532
ENCANA OIL & GAS (USA) INCORPORATED,14202001010515H,-97.71675,29.05038,4/1/2015,5234,5234,2013,34,386,834,1.41,11413,78323,124565
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200105142H,-97.832947,29.032469,7/1/2013,4042,4042,667,16,444,658,1.01,17764,85693,125430
EOG RESOURCES INCORPORATED,1420200109902H,-97.8861,28.98632,11/1/2014,5147,5147,2872,59,283,1111,1.16,34573,78779,125842
ENCANA OIL & GAS (USA) INCORPORATED,14202001007011H,-97.699686,29.078403,10/1/2015,4399,4399,2115,32,303,558,1.56,17602,83573,125866
MURPHY EXPLORATION & PRODUCTION CO-U,1420200096165H,-97.847989,29.006625,10/1/2015,4923,4923,1656,44,389,808,0.89,19254,75987,126424
MURPHY EXPLORATION & PRODUCTION CO-U,1420200105024H,-97.93455,28.944658,7/1/2013,5108,5108,1294,33,495,781,0.93,19135,79123,126582
MURPHY EXPLORATION & PRODUCTION CO-U,1420200107672H,-97.832186,28.979808,8/1/2014,5538,5538,1274,33,352,759,0.91,16270,78270,126668
MURPHY EXPLORATION & PRODUCTION CO-U,1420200104914H,-97.8407,28.980097,8/1/2014,5072,5072,1318,42,356,1444,0.75,18690,87826,126759
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200109292H,-97.811081,29.017106,10/1/2014,5967,5967,646,15,465,1073,1.01,18189,83705,127214
MARATHON OIL EF LLC,1420200099174H,-97.95193,28.89348,2/1/2014,5989,5989,864,20,669,638,1.04,23422,89448,128236
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200104723H,-97.853446,28.969807,4/1/2013,5672,5672,642,14,761,807,1.08,8337,93763,128819
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200106932H,-97.864875,28.961662,4/1/2014,4303,4303,582,23,429,927,0.59,16284,81774,128898
BURLINGTON RESOURCES O&G CO LP,1.42E+12,-97.749633,29.058652,1/1/2014,4154,4154,1523,22,660,1309,1.67,15547,69014,129292
MARATHON OIL EF LLC,1420200104365H,-97.95967,28.89317,9/1/2014,5794,5794,831,21,524,1069,0.95,26219,89652,129817
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200109331H,-97.811125,29.017106,10/1/2014,5927,5927,650,15,782,1038,1,16270,89271,130341
MURPHY EXPLORATION & PRODUCTION CO-U,1420200107675H,-97.832344,28.979658,8/1/2014,5182,5182,1285,40,346,945,0.77,17882,85497,131545
MURPHY EXPLORATION & PRODUCTION CO-U,14202000961718H,-97.881141,28.938583,5/1/2015,3837,3837,1701,45,583,1323,0.89,16762,78571,133440
MURPHY EXPLORATION & PRODUCTION CO-U,14202000961715H,-97.88615,28.93871,5/1/2015,4371,4371,1710,44,551,995,0.93,18433,82756,133507
MURPHY EXPLORATION & PRODUCTION CO-U,1420200105025H,-97.935122,28.944853,7/1/2013,5302,5302,1251,30,505,868,0.99,17307,75023,135259
MURPHY EXPLORATION & PRODUCTION CO-U,1420200104732H,-97.903192,28.928464,5/1/2014,2972,2972,1635,48,952,1294,0.82,13303,71622,135269
MARATHON OIL EF LLC,1420200099173H,-97.95185,28.89347,2/1/2014,5986,5986,864,19,497,910,1.1,21139,85120,135281
ENCANA OIL & GAS (USA) INCORPORATED,14202001010517H,-97.71663,29.05038,4/1/2015,5530,5530,2641,41,260,606,1.54,22250,84272,135420
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200105865H,-97.836936,28.959536,12/1/2013,6050,6050,979,20,738,894,1.19,13061,77016,135462
DEVON ENERGY PRODUCTION COMPANY L P,1420200107164H,-97.786675,29.057556,1/1/2014,4793,4793,1475,25,368,875,1.39,19568,81368,135656
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200102362H,-97.88817,28.984067,1/1/2015,6540,6540,656,15,435,892,1.03,7532,82204,136232
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200100485H,-97.853479,28.969776,4/1/2013,4042,4042,666,16,443,1093,0.97,4368,38747,136339
MURPHY EXPLORATION & PRODUCTION CO-U,1420200107673H,-97.832239,28.979758,8/1/2014,5374,5374,1314,33,339,1027,0.93,13447,66017,138027
MARATHON OIL EF LLC,1420200099792H,-97.945606,28.912797,5/1/2014,6573,6573,1294,26,407,976,1.18,22850,91514,138123
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200106173H,-97.864843,28.961633,4/1/2014,4445,4445,565,23,520,864,0.57,11450,79202,138498
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200100332H,-97.835996,28.946967,8/1/2012,4853,4853,633,16,764,1350,0.96,15930,85186,138566
MURPHY EXPLORATION & PRODUCTION CO-U,1420200105376H,-97.819894,28.969662,8/1/2014,4437,4437,1658,37,517,937,1.06,18302,92243,140258
MURPHY EXPLORATION & PRODUCTION CO-U,1420200109311H,-97.93345,28.95931,3/1/2015,4625,4625,1611,42,599,871,0.92,28767,105594,140441
ENCANA OIL & GAS (USA) INCORPORATED,14202001010518H,-97.71656,29.05038,4/1/2015,5005,5005,2013,36,287,237,1.34,26073,95958,140592
EOG RESOURCES INCORPORATED,14202000991013H,-97.74486,29.06801,8/1/2015,4941,4941,2991,55,311,1257,1.29,29109,99881,140652
MARATHON OIL EF LLC,1420200099793H,-97.945697,28.9128,5/1/2014,6083,6083,1265,23,421,955,1.33,22703,94558,141154
MURPHY EXPLORATION & PRODUCTION CO-U,1420200107674H,-97.832292,28.979708,8/1/2014,5258,5258,1519,43,332,913,0.84,22633,100262,141881
EOG RESOURCES INCORPORATED,1420200108542H,-97.747,29.082775,3/1/2016,4809,4809,2935,55,236,859,1.26,23574,83937,141981
MARATHON OIL EF LLC,1420200100742H,-97.96417,28.91025,10/1/2014,6913,6913,830,17,351,1260,1.16,23473,96185,142731
MARATHON OIL EF LLC,1420200100743H,-97.96427,28.91025,10/1/2014,6898,6898,826,17,348,1300,1.17,25396,100607,142790
EOG RESOURCES INCORPORATED,1420200108544H,-97.74715,29.082636,2/1/2016,4750,4750,2975,56,279,858,1.26,27646,81872,143037
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200105864H,-97.836889,28.959522,1/1/2014,6245,6245,882,29,467,1191,0.71,20343,109506,143435
MURPHY EXPLORATION & PRODUCTION CO-U,1420200100451H,-97.890369,28.962447,7/1/2012,5256,5256,1218,51,690,929,0.57,13269,81636,143963
MARATHON OIL EF LLC,1420200099005H,-97.96451,28.90852,4/1/2014,5699,5699,950,24,346,1163,0.93,23293,95283,143994
MURPHY EXPLORATION & PRODUCTION CO-U,1420200100941H,-97.839425,29.016336,6/1/2012,4822,4822,1270,44,773,761,0.68,20057,90353,145089
MURPHY EXPLORATION & PRODUCTION CO-U,1420200096073H,-97.89758,28.9412,5/1/2015,5612,5612,1717,46,332,1346,0.9,19322,90420,145663
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200109303H,-97.811033,29.017103,10/1/2014,6046,6046,638,15,542,961,1.01,17933,91771,146254
MURPHY EXPLORATION & PRODUCTION CO-U,1420200096075H,-97.89743,28.9412,5/1/2015,5963,5963,1634,44,378,1384,0.88,20695,95881,146538
EOG RESOURCES INCORPORATED,1420200110092H,-97.913403,28.978553,8/1/2015,3724,3724,2924,56,774,1155,1.24,29466,102704,148018
EOG RESOURCES INCORPORATED,1420200110271H,-97.8642,29.0066,2/1/2015,3771,3771,2772,55,287,1180,1.2,220,95641,148867
ENERVEST OPERATING LLC,1420200099474H,-97.871233,29.015436,8/1/2015,4640,4640,2459,42,499,2578,1.39,35263,101422,149111
MURPHY EXPLORATION & PRODUCTION CO-U,1420200104919H,-97.840753,28.980044,8/1/2014,5548,5548,1269,42,365,501,0.73,19168,95887,149249
EOG RESOURCES INCORPORATED,1420200100048H,-97.766622,29.059172,4/1/2014,3266,3266,2930,52,346,1119,1.33,26573,98646,149268
MURPHY EXPLORATION & PRODUCTION CO-U,14202000961713H,-97.886311,28.938717,5/1/2015,4034,4034,1723,45,727,990,0.92,21672,96141,149451
MARATHON OIL EF LLC,1420200099643H,-97.917922,28.886333,5/1/2014,4131,4131,1011,23,427,1467,1.04,22966,99765,149452
EOG RESOURCES INCORPORATED,1420200098787H,-97.75588,29.05578,2/1/2015,6140,6140,2893,53,308,969,1.29,25856,111645,149543
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107633H,-97.879809,28.99253,6/1/2014,5483,5483,951,22,423,857,1.01,24353,139508,151232
MURPHY EXPLORATION & PRODUCTION CO-U,1420200106844H,-97.814506,28.993092,4/1/2014,5216,5216,1306,39,922,1053,0.79,21842,90439,151250
MURPHY EXPLORATION & PRODUCTION CO-U,1420200106843H,-97.814611,28.992983,4/1/2014,4785,4785,1671,49,437,926,0.81,17138,88230,151926
EOG RESOURCES INCORPORATED,1420200109903H,-97.888703,28.985308,4/1/2016,6264,6264,2811,60,247,736,1.12,24965,104694,153226
MURPHY EXPLORATION & PRODUCTION CO-U,14202000961714H,-97.88623,28.93872,5/1/2015,4094,4094,1706,45,348,632,0.91,22138,100917,154155
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200106141H,-97.881501,28.963926,3/1/2014,5609,5609,965,47,526,1170,0.48,12902,100408,154616
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200102363H,-97.888129,28.984091,1/1/2015,6576,6576,644,16,535,868,0.97,41017,117286,154653
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107631H,-97.87964,28.992458,6/1/2014,5707,5707,1833,22,579,748,1.98,24778,140343,155997
MURPHY EXPLORATION & PRODUCTION CO-U,1420200096166H,-97.847938,29.006679,10/1/2015,4775,4775,1688,45,373,752,0.89,25585,103815,156188
EOG RESOURCES INCORPORATED,1420200106481H,-97.71947,29.08002,5/1/2016,4624,4624,3033,60,217,1231,1.21,41440,124580,158912
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107563H,-97.874701,28.996844,6/1/2014,6213,6213,961,24,371,736,0.97,17177,89986,159015
MARATHON OIL EF LLC,1420200099644H,-97.917845,28.88633,5/1/2014,4038,4038,1043,25,692,1225,1,25975,110647,159570
MURPHY EXPLORATION & PRODUCTION CO-U,1420200106514H,-97.814558,28.993039,4/1/2014,5462,5462,1247,40,1119,1020,0.75,21445,100939,159763
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200108353H,-97.821705,29.032537,12/1/2014,4095,4095,661,15,1100,904,1.04,24958,100691,160005
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200106934H,-97.862979,28.963415,4/1/2014,4328,4328,982,22,436,900,1.04,17449,88106,162015
ENERVEST OPERATING LLC,1420200110674H,-97.810737,29.040251,11/1/2015,3363,3363,2746,43,981,1182,1.53,35579,113990,163087
EOG RESOURCES INCORPORATED,1420200110093H,-97.913498,28.978504,8/1/2015,3737,3737,2924,56,245,1159,1.25,32749,119963,164032
ENCANA OIL & GAS (USA) INCORPORATED,14202001010516H,-97.71669,29.05038,4/1/2015,5254,5254,1325,38,293,599,0.83,22303,84469,164043
MURPHY EXPLORATION & PRODUCTION CO-U,1420200096072H,-97.89766,28.9412,5/1/2015,5764,5764,1677,44,435,1194,0.9,23669,117114,164596
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200102545H,-97.895551,28.978221,5/1/2014,5751,5751,638,15,518,866,0.99,5988,58399,164918
