OperatorName,Entity,Lon,Lat,DateProductionStart,PerfIntervalGross_CLEAN,PerfIntervalGross,LBS_FT_CLEAN,BBL_FT_CLEAN,Spacing_Avg,GOR_6M,LBS_GAL,IPLiquid,CUM6Liquid,CUM12Liquid
BURLINGTON RESOURCES O&G CO LP,1.42E+12,-97.908767,28.935147,8/1/2014,7109,7109,1511,18,618,691,1.95,21747,120851,210431
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200106142H,-97.881459,28.963948,4/1/2014,5442,5442,979,47,472,779,0.5,19933,134511,214593
EOG RESOURCES INCORPORATED,1420200109904H,-97.888797,28.985261,4/1/2016,6286,6286,2742,57,215,868,1.14,36878,159258,221135
EOG RESOURCES INCORPORATED,1420200108406H,-97.774625,29.046161,7/1/2015,4104,4104,3048,58,277,1317,1.26,29981,145387,224021
ENCANA OIL & GAS (USA) INCORPORATED,14202001017212H,-97.71346,29.072686,9/1/2014,6997,6997,2049,40,474,870,1.23,20559,132455,229038
BURLINGTON RESOURCES O&G CO LP,1.42E+12,-97.908767,28.935203,9/1/2014,7797,7797,2271,26,754,814,2.06,30163,148877,233801
EOG RESOURCES INCORPORATED,1420200103856H,-97.705189,29.091489,5/1/2014,4640,4640,2494,46,406,1209,1.28,60767,164217,233810
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200106673H,-97.876049,28.966846,3/1/2014,7274,7274,990,24,491,741,1,22177,127801,238455
EOG RESOURCES INCORPORATED,1420200108405H,-97.774733,29.046161,7/1/2015,4053,4053,3087,57,266,1172,1.29,45980,183345,249181
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107561H,-97.874772,28.996792,6/1/2014,6234,6234,959,23,519,1801,1.01,25372,139613,250485
ENCANA OIL & GAS (USA) INCORPORATED,14202001017211H,-97.713436,29.072636,9/1/2014,6775,6775,1991,35,519,739,1.37,20787,134640,250711
ENERVEST OPERATING LLC,1420200112531H,-97.775117,29.007296,12/1/2015,6182,6182,2329,36,929,1079,1.54,55612,162200,252376
EOG RESOURCES INCORPORATED,1420200100049H,-97.76991,29.0516,11/1/2014,5267,5267,2994,56,349,1168,1.27,37612,154536,253114
EOG RESOURCES INCORPORATED,1420200109003H,-97.754431,29.078758,8/1/2015,5446,5446,3082,57,240,1098,1.28,56476,209386,269105
EOG RESOURCES INCORPORATED,1420200108492H,-97.743842,29.085469,6/1/2016,5247,5247,3088,59,293,1049,1.24,53512,200842,274390
EOG RESOURCES INCORPORATED,1420200103781H,-97.711369,29.096967,1/1/2013,5283,5283,2053,24,275,1236,2.02,56946,179006,279518
EOG RESOURCES INCORPORATED,1420200103784H,-97.7126,29.096614,3/1/2014,6928,6928,2241,36,242,1034,1.47,49923,232669,313121
ENERVEST OPERATING LLC,1420200108315H,-97.843693,29.014174,1/1/2015,4466,4466,2302,41,881,1034,1.34,58156,211542,316113
EOG RESOURCES INCORPORATED,1420200103786H,-97.714253,29.096172,11/1/2014,6793,6793,2392,56,366,1281,1.03,59882,254741,399912
EOG RESOURCES INCORPORATED,1420200103787H,-97.714356,29.096139,11/1/2014,7315,7315,2904,59,260,958,1.18,69863,291323,439080
EOG RESOURCES INCORPORATED,1420200103789H,-97.715794,29.095364,11/1/2014,6794,6794,2971,59,250,1293,1.2,80585,334594,499727
ENERVEST OPERATING LLC,1420200099479H,-97.877086,29.012583,1/1/2017,4351,4351,1517,31,711,,1.17,54990,,
